description,amount,category,date,transaction_type,account_name,month,source
Uber ride payment - INR 40356 - Ref 564907,2236.63,Travel,,,,,indian
Lifestyle store purchase - INR 19932 - Ref 233475,499.95,Office Supplies,,,,,indian
Credit card EMI - INR 9984 - Ref 341353,1291.68,Rent,,,,,indian
Appliance EMI - INR 30834 - Ref 304567,3287.84,Rent,,,,,indian
Mall shopping payment - INR 49353 - Ref 485224,123.86,Office Supplies,,,,,indian
Hotel stay booking - INR 30902 - Ref 830566,2271.82,Travel,,,,,indian
Retail store shopping - INR 20066 - Ref 160371,96.31,Office Supplies,,,,,indian
Gold bond investment - INR 23280 - Ref 126844,4931.01,Professional Fees,,,,,indian
Credit Card Payment,817.14,Professional Fees,2018-04-02,credit,Silver Card,2018-04,excel
Gold bond investment - INR 41950 - Ref 127727,1301.53,Professional Fees,,,,,indian
Retail store shopping - INR 36484 - Ref 898311,335.44,Office Supplies,,,,,indian
eBay online order - INR 45235 - Ref 651400,38.11,Office Supplies,,,,,indian
Appliance EMI - INR 39224 - Ref 560898,2102.6,Rent,,,,,indian
Car loan EMI - INR 8322 - Ref 852002,1073.55,Rent,,,,,indian
Flight ticket booking - INR 9781 - Ref 714692,1128.43,Travel,,,,,indian
Mobile EMI payment - INR 27340 - Ref 850135,1077.91,Rent,,,,,indian
Appliance EMI - INR 32856 - Ref 282457,3950.48,Rent,,,,,indian
Amazon online shopping - INR 5408 - Ref 964726,431.95,Office Supplies,,,,,indian
Uber ride payment - INR 44824 - Ref 325271,392.39,Travel,,,,,indian
Flipkart purchase - INR 30800 - Ref 572985,445.04,Office Supplies,,,,,indian
Appliance EMI - INR 23399 - Ref 272600,1372.38,Rent,,,,,indian
Metro card recharge - INR 41834 - Ref 410868,2079.73,Travel,,,,,indian
Education loan EMI - INR 16466 - Ref 703345,3213.44,Rent,,,,,indian
eBay online order - INR 17257 - Ref 753640,256.03,Office Supplies,,,,,indian
Uber ride payment - INR 25420 - Ref 782736,692.6,Travel,,,,,indian
Lifestyle store purchase - INR 18763 - Ref 129184,49.64,Office Supplies,,,,,indian
Demat account transfer - INR 3311 - Ref 586692,2802.26,Professional Fees,,,,,indian
Car loan EMI - INR 48950 - Ref 159903,2219.28,Rent,,,,,indian
Mall shopping payment - INR 1139 - Ref 486960,448.23,Office Supplies,,,,,indian
Education loan EMI - INR 7693 - Ref 519138,4235.58,Rent,,,,,indian
Ajio clothing purchase - INR 49695 - Ref 337531,404.61,Office Supplies,,,,,indian
Cafe coffee purchase - INR 9711 - Ref 861719,408.03,Miscellaneous,,,,,indian
Personal loan EMI - INR 30079 - Ref 678700,4937.79,Rent,,,,,indian
Supermarket shopping - INR 4549 - Ref 110908,172.1,Office Supplies,,,,,indian
MakeMyTrip travel booking - INR 31014 - Ref 650677,548.78,Travel,,,,,indian
Electronics purchase - INR 20466 - Ref 740640,324.14,Office Supplies,,,,,indian
NPS contribution - INR 3755 - Ref 122953,3679.83,Professional Fees,,,,,indian
Demat account transfer - INR 30510 - Ref 487055,2751.97,Professional Fees,,,,,indian
Credit Card Payment,491.86,Professional Fees,2019-03-06,debit,Checking,2019-03,excel
MakeMyTrip travel booking - INR 6845 - Ref 986854,1697.54,Travel,,,,,indian
Fixed deposit investment - INR 49192 - Ref 533989,1069.45,Professional Fees,,,,,indian
Uber ride payment - INR 47853 - Ref 645466,225.11,Travel,,,,,indian
NPS contribution - INR 34019 - Ref 627734,2431.69,Professional Fees,,,,,indian
PPF contribution - INR 43407 - Ref 749130,4331.21,Professional Fees,,,,,indian
ETF purchase - INR 11499 - Ref 920692,3953.2,Professional Fees,,,,,indian
KFC online order - INR 38561 - Ref 407456,837.56,Miscellaneous,,,,,indian
Education loan EMI - INR 22576 - Ref 633337,4433.62,Rent,,,,,indian
Appliance EMI - INR 11274 - Ref 959682,4797.86,Rent,,,,,indian
Credit card EMI - INR 47298 - Ref 367423,2858.8,Rent,,,,,indian
MakeMyTrip travel booking - INR 16831 - Ref 664698,743.85,Travel,,,,,indian
Exxon,38.0,Travel,2018-09-26,debit,Silver Card,2018-09,excel
Restaurant dine-in bill - INR 35578 - Ref 346086,182.98,Miscellaneous,,,,,indian
Mobile EMI payment - INR 49757 - Ref 742488,1400.18,Rent,,,,,indian
Hardware Store,11.61,Office Supplies,2018-04-14,debit,Platinum Card,2018-04,excel
Rapido bike ride - INR 48273 - Ref 578943,402.69,Travel,,,,,indian
PPF contribution - INR 30520 - Ref 444213,2858.56,Professional Fees,,,,,indian
Credit Card Payment,159.38,Professional Fees,2018-08-15,credit,Platinum Card,2018-08,excel
Grocery Store,7.57,Office Supplies,2018-06-28,debit,Silver Card,2018-06,excel
Laptop EMI payment - INR 40762 - Ref 776826,1703.55,Rent,,,,,indian
Metro card recharge - INR 44179 - Ref 229761,553.95,Travel,,,,,indian
Stock market investment - INR 16712 - Ref 576141,570.39,Professional Fees,,,,,indian
Ola cab booking - INR 21463 - Ref 305157,1967.56,Travel,,,,,indian
Dominos pizza order - INR 44170 - Ref 456111,913.35,Miscellaneous,,,,,indian
Lifestyle store purchase - INR 45907 - Ref 501146,74.67,Office Supplies,,,,,indian
Mobile EMI payment - INR 26761 - Ref 452638,1357.84,Rent,,,,,indian
Hotel stay booking - INR 10303 - Ref 521564,1754.92,Travel,,,,,indian
Fixed deposit investment - INR 18767 - Ref 351062,4887.23,Professional Fees,,,,,indian
Stock market investment - INR 23501 - Ref 961472,2887.27,Professional Fees,,,,,indian
Metro card recharge - INR 19632 - Ref 983366,2097.87,Travel,,,,,indian
Mobile EMI payment - INR 22452 - Ref 132270,3644.16,Rent,,,,,indian
Laptop EMI payment - INR 24148 - Ref 442214,2164.0,Rent,,,,,indian
Retirement fund investment - INR 29260 - Ref 568436,3196.72,Professional Fees,,,,,indian
NPS contribution - INR 43553 - Ref 663821,1559.83,Professional Fees,,,,,indian
eBay online order - INR 32244 - Ref 635534,386.51,Office Supplies,,,,,indian
Retirement fund investment - INR 3088 - Ref 572880,1573.25,Professional Fees,,,,,indian
eBay online order - INR 31602 - Ref 796814,481.0,Office Supplies,,,,,indian
Stock market investment - INR 27850 - Ref 470914,3922.47,Professional Fees,,,,,indian
Hotel dinner bill - INR 28889 - Ref 509271,267.34,Miscellaneous,,,,,indian
Lifestyle store purchase - INR 25426 - Ref 652249,358.66,Office Supplies,,,,,indian
Cafe coffee purchase - INR 31605 - Ref 154915,247.86,Miscellaneous,,,,,indian
Appliance EMI - INR 9009 - Ref 624251,4785.65,Rent,,,,,indian
Swiggy order payment - INR 17964 - Ref 809024,385.35,Miscellaneous,,,,,indian
Uber ride payment - INR 20170 - Ref 129074,350.61,Travel,,,,,indian
Gold bond investment - INR 23215 - Ref 961270,622.6,Professional Fees,,,,,indian
Flight ticket booking - INR 28066 - Ref 166923,1627.15,Travel,,,,,indian
Myntra fashion order - INR 26489 - Ref 546538,38.91,Office Supplies,,,,,indian
Swiggy order payment - INR 47207 - Ref 459528,819.96,Miscellaneous,,,,,indian
Personal loan EMI - INR 587 - Ref 796461,1930.49,Rent,,,,,indian
MakeMyTrip travel booking - INR 10514 - Ref 609202,2423.14,Travel,,,,,indian
Rapido bike ride - INR 17482 - Ref 644998,363.48,Travel,,,,,indian
Laptop EMI payment - INR 29670 - Ref 997415,2205.68,Rent,,,,,indian
Fixed deposit investment - INR 20010 - Ref 469906,2844.04,Professional Fees,,,,,indian
Grocery food items - INR 25966 - Ref 528085,892.68,Miscellaneous,,,,,indian
Sushi Restaurant,48.64,Miscellaneous,2018-09-25,debit,Silver Card,2018-09,excel
Uber ride payment - INR 32783 - Ref 395532,2624.52,Travel,,,,,indian
ETF purchase - INR 29485 - Ref 759909,1228.12,Professional Fees,,,,,indian
